English,French
I belong here.,C'est ici qu'est ma place.
Do you have any other question?, Avez-vous une autre question?
Tom gave Mary something.,Tom a donné quelque chose à Mary.
There is plenty of water.,Il y a plein d'eau.
I hate weddings.,Je déteste les mariages.
I have three cats.,J'ai trois chats.
"Hi, this is Doris. "," Salut, c'est Doris."
No wonder nobody likes you.,Pas étonnant que personne ne vous apprécie.
S-204604435, S-204604435
She likes him.,Elle l'aime.
You're in love.,Vous êtes amoureux.
Come over.,Venez chez nous !
Ask around.,Demandez alentour !
Can I get your itinerary number?  , Puis-je obtenir votre numéro d'itinéraire?
I can't let you.,Je ne peux pas te le permettre.
I feel strongly about this.,J'y suis profondément opposée.
There will be no ambiguity.,Il n'y aura pas d'ambiguïté.
Almost done! , Presque fini!
Can I get you something?,Puis-je te ramener quelque chose ?
I was very busy this week.,J'étais très occupée cette semaine.
I wanted something to eat.,Je voulais quelque chose à manger.
Let's walk to the lake.,Marchons jusqu'au lac.
You should have seen it.,Tu aurais dû le voir.
We weren't lucky.,Nous n'avons pas eu de chance.
Select booking, Sélectionnez la réservation
That's not very original.,Ce n'est pas très original.
I'm old enough.,Je suis suffisamment vieux.
Anytime., À tout moment.
Come and help us.,Viens nous aider.
"I see, please go on."," Je vois, continuez."
Time flies.,Le temps s'enfuit.
Verify Customer, Vérifier le client
At what time does it close?,À quelle heure ça ferme ?
Please smile.,"Souris, je te prie !"
I have your schedule here.,Je dispose ici de votre horaire.
Don't try anything funny.,Pas de bêtises !
I usually do the dishes.,D'habitude je fais la vaisselle.
These are our kids.,Ceux-là sont nos enfants.
They must really hate me.,Elles doivent vraiment me détester.
Do you know what they want?,Savez-vous ce qu'elles veulent ?
I slammed the door shut.,J'ai claqué la porte.
I was very shocked.,J'étais très choqué.
Thank you for waiting. , Merci pour l'attente.
I've been misunderstood.,Je fus mal compris.
Thanks! Stay with me.  , Merci! Restez avec moi.
Are you still there?, Tu es encore la?
Are you registered?,Êtes-vous inscrite ?
Tom is very unpredictable.,Tom est vraiment imprévisible.
I want to test my limits.,Je veux tester mes limites.
I will protect you.,Je vous protègerai.
I'm unbiased.,Je suis impartiale.
I get out of breath.,Je perds le souffle.
Yes the flights are cancelled. ," Oui, les vols sont annulés."
He lives in the next town.,Il vit dans la ville d'à côté.
Thank you. , Je vous remercie.
She looks unhappy.,Elle a l'air malheureuse.
Airplanes are expensive.,Les avions sont chers.
I knew that Tom was a bum.,Je savais que Tom était un mendiant.
Thank you for waiting., Merci pour l'attente.
Thanks for your patience., Merci pour votre patience.
Let's do it.,Faisons-le.
That's what you all say.,C'est ce que vous dites tous.
Are you by yourself?,Êtes-vous seul ?
We only cater outbound call Taylor., Nous ne traitons que les appels sortants Taylor.
I sent both confirmations., J'ai envoyé les deux confirmations.
Take as long as you need.,Prenez le temps dont vous avez besoin !
I think I know the answer.,Je pense connaître la réponse.
Cancelling each rooms now. , Annulation de chaque pièce maintenant.
Did you see anyone leave?,As-tu vu qui que ce soit partir ?
It's a rule.,C'est une règle.
I felt wonderful.,J'ai eu un sentiment merveilleux.
Tom wrung out the towel.,Tom essora la serviette.
Does that float your boat?,Cela te convient-il ?
She smells bad.,Elle sent mauvais.
I'm placing the call now., Je passe l'appel maintenant.
His sweater is gray.,Son pull est gris.
"You like it, don't you?","Vous aimez cela, n'est-ce pas ?"
Verify Customer, Vérifier le client
They had a duty.,Ils avaient un devoir.
Leave a message.,Laissez un message !
Verify Customer, Vérifier le client
I have a few ideas.,J'ai quelques idées.
You don't sound convinced.,Tu ne sembles pas convaincu.
66,soixante-six
How did he find us?,Comment nous a-t-il trouvées ?
I heard three explosions.,J'ai entendu trois détonations.
I have to dress up.,Je dois me saper.
I have a request to make.,J'ai une demande à faire.
Tom asked me to marry him.,Tom m'a demandé de l'épouser.
Everybody didn't go to bed.,Tout le monde n'est pas allé au lit.
I was worried.,J'étais préoccupé.
She came close to drowning.,Il s'en fallut de peu qu'elle se noie.
Tom told me about Mary.,Tom m'a dit à propos de Mary.
company third party company , société société tierce
I'm still checking, Je vérifie toujours
Thank you., Je vous remercie.
That's unimportant.,Ça ne compte pas.
The joke's on you.,C'est de toi qu'on se moque.
7.52E+12," 7,52446E + 12"
I was new.,J'étais nouvelle.
Verify Customer, Vérifier le client
All the seats are booked.,Tous les fauteuils sont réservés.
Do you have a subway map?,Tu as une carte du métro ?
I'm lucky to have a job.,Je suis chanceux d'avoir un travail.
Who notified you?,Qui t'as informé ?
"You'll call me, won't you?","Vous m'appellerez, n'est-ce pas ?"
Did you get your receipt?,T'as eu ton reçu ?
Select booking, Sélectionnez la réservation
I'm still working here., Je travaille toujours ici.
Thank you for chatting with us!, Merci d'avoir discuté avec nous!
I went there to meet him.,Je m'y suis rendu pour le rencontrer.
Your reservations is now updated. , Vos réservations sont maintenant mises à jour.
26,vingt-six
What nonsense!,Quelle absurdité !
You're restless.,Tu es agitée.
"We do respect your decision, Mitchell. "," Nous respectons votre décision, Mitchell."
Are you still there? , Tu es encore la?
It really depends on when.,Ça va dépendre de quand.
You're very tall.,Tu es très grande.
Would you say they match?,Dirais-tu qu'ils vont ensemble ?
I hope you understand., J'espère que tu comprends.
I guess I was wrong.,Je suppose que j'ai eu tort.
He has no eye for women.,Il n'a pas d'yeux pour les femmes.
I read an exciting story.,Je lus une histoire passionnante.
He never talked about it.,Il n'en a jamais parlé.
Do you like fishing?,Aimes-tu pêcher ?
She stared him in the face.,Elle l'a regardé droit dans les yeux.
I'm addicted to nicotine.,Je suis accro à la nicotine.
I had a bad stomachache.,J'eus d'affreux maux d'estomac.
Tom volunteered.,Tom se porta volontaire.
I was a fool to trust you.,J'ai été sot de vous faire confiance.
I apologize for the long delay , Je m'excuse pour le long retard
I don't like long drives.,Je n'aime pas conduire sur de longues distances.
"Hi! this is Alvaro, How can I help?"," Salut! c'est Alvaro, comment puis-je aider?"
You'd better go to bed.,Vous feriez mieux d'aller vous coucher.
"Hi, this is Eduardo."," Salut, c'est Eduardo."
I think Tom is old.,Je pense que Tom est âgé.
I failed chemistry.,J'ai échoué en chimie.
I'll show you how to do it.,Je vous montrerai comment le faire.
Let's go back home.,Rentrons à la maison.
Thanks for holding Margarita. , Merci d'avoir tenu Margarita.
He should be angry.,Il devrait être en colère.
Do you need a ride?,As-tu besoin d'être véhiculée ?
I don't like your friends.,Je n'apprécie pas vos amies.
Could we sit?,Pourrions-nous nous asseoir ?
"Chelsea, are you still there?"," Chelsea, tu es toujours là?"
Verify Customer, Vérifier le client
Allow me 5 to 8 minutes, Accordez-moi 5 à 8 minutes
How can I help you?, Comment puis-je vous aider?
What's going to happen?,Que va-t-il arriver ?
You're productive.,Vous êtes productives.
We'll fight.,Nous combattrons.
She can skate.,Elle sait patiner.
He wants you to come home.,Il veut que tu viennes chez toi.
You should have told him.,Vous auriez dû lui dire.
My bicycle has a flat tire.,Mon vélo a un pneu à plat.
I didn't want to waste it.,Je ne voulais pas le gâcher.
You're quite smart.,Tu es fort maline.
I want you to do nothing.,Je veux que vous ne fassiez rien.
Tom is Mary's son.,Tom est le fils de Mary.
That's how it was.,C'est ainsi que c'était.
She's very tall.,Elle est très grande.
hotel amenities,commodités de l'hôtel
Try once again.,Essaie à nouveau.
That's why we want you.,C'est pourquoi nous vous voulons.
Put it down.,Pose-le !
I am hers and she is mine.,Je suis sienne et elle est mienne.
I'm not doing that today.,Je ne vais pas faire ça aujourd'hui.
We slept in the same bed.,Nous dormîmes dans le même lit.
Verify Customer, Vérifier le client
I appreciate your patience., J'apprécie ta patience.
Hello, Bonjour
I kiss with my eyes open.,J'embrasse les yeux ouverts.
Cancel booking, Annuler la réservation
Close that door.,Ferme cette porte !
That really isn't funny.,Ce n'est vraiment pas drôle.
How do you want us to proceed with this?, Comment voulez-vous que nous procédions à cela?
Where's Tom's card?,Où est la carte de Tom ?
He's raking it in.,Il s'en met plein les poches.
I'm not worried about them.,Je ne me fais pas de souci à leur sujet.
Let me explain to you the following. , Permettez-moi de vous expliquer ce qui suit.
She drives me mad.,Elle me rend fou.
Yesterday was Thursday.,"Hier, c'était jeudi."
Bye for now! ^_^, Au revoir! ^ _ ^
Thanks for your patience., Merci pour votre patience.
He caught a large trout.,Il attrapa une grosse truite.
She looked ghostly.,Elle est devenue pâle comme un linge.
You need to be patient.,Il vous faut être patient.
I went home alone.,Je suis allé seul à la maison.
He lives frugally.,Il vit chichement.
You may go now.,Tu peux partir maintenant.
May I know the name of the person you spoke with?, Puis-je connaître le nom de la personne à qui vous avez parlé?
"Yes, correct. ", Oui correct.
Get out of the way.,Écartez-vous du passage !
Or you can do it on your end as well. , Ou vous pouvez également le faire de votre côté.
I should've just shut up.,J'aurais dû seulement la fermer.
Where do they live?,Où vivent-elles ?
Get me something to eat.,Dégote-moi quelque chose à manger.
Please wait for an update., Veuillez attendre une mise à jour.
This is an apple.,Ceci est une pomme.
"Hi, my name is Dory. May I know your name, please?"," Salut, je m'appelle Dory. Puis-je connaître votre nom, s'il vous plaît?"
Quit acting like a baby.,Cesse de te conduire en bébé !
We're all having lunch.,Nous sommes tous en train de dîner.
I never thought about that.,Je n'y ai jamais songé.
You paid per ticket 395.35 USD.," Vous avez payé 395,35 USD par billet."
I didn't like my teacher.,Je n'ai pas apprécié mon instituteur.
Do you like this?,Ça vous plaît ?
Were you disrespectful?,Leur avez-vous manqué de respect ?
I forgot my wallet.,J'ai oublié mon porte-monnaie.
The competition was fierce.,La compétition était acharnée.
He didn't want to leave.,Il ne voulait pas partir.
Are you still seeing availability? , Voyez-vous toujours la disponibilité?
I am cooking now.,Je cuisine en ce moment.
That was not an earthquake.,Ce n'était pas un tremblement de terre.
Are you already married?,Êtes-vous déjà mariés ?
You're really incredible.,Vous êtes vraiment incroyables.
She got the money from him.,Elle a reçu l'argent de lui.
Thanks for waiting. , Merci pour votre patience.
It won't cost you a thing.,Cela ne vous coûtera rien.
Be watchful.,Soyez prudente !
Everyone wins.,Tout le monde y gagne.
"Non-refundable, changeable"," Non remboursable, modifiable"
See you soon!,À tout à l'heure !
would you like to proceed?, Voulez vous procéder?
Tom loves to ski.,Tom adore skier.
Birds are chirping.,Les oiseaux chantent.
I'll keep you updated., Je vous tiens au courant.
Why are you calling me?,Pourquoi m'appelles-tu ?
I like your personality.,J'aime votre personnalité.
Are you here to help us?,Est-ce que tu es là pour nous aider ?
"Hi there , Stephanie here!  "," Salut, Stéphanie ici!"
How can I help you today? , Comment puis-je vous aider aujourd'hui?
Don't interrupt me.,Ne m'interrompez pas !
Cut that out!,Arrêtez ça !
I'm glad you could make it.,Je suis ravie que vous ayez pu venir.
Have you tried the chicken?,As-tu essayé le poulet ?
They'll never know.,Ils ne sauront jamais.
I'd love to dance with you.,J'aimerais tant danser avec toi.
You're resilient.,Vous êtes endurant.
Are you hiring?,Embauchez-vous ?
Was her story true?,Était-elle vraie son histoire ?
They're awesome.,Ils sont géniaux.
Verify Customer, Vérifier le client
Do you want to lose weight?,Veux-tu perdre du poids ?
"Of course, you're correct.","Évidemment, tu as raison."
He was supposed to come.,Il était supposé venir.
I got a new camera.,Je me suis procuré un nouvel appareil photographique.
This is yours.,Il s'agit du tien.
Did anyone else help you?,Qui que ce soit d'autre t'a-t-il aidé ?
How may I be of service today?, Comment puis-je être utile aujourd'hui?
I want to congratulate you.,Je veux te féliciter.
Cancel booking, Vérifier la réservation CustomerCancel
verify customer, vérifier le client
That's not going to change.,Cela ne va pas changer.
That would be the second number., Ce serait le deuxième chiffre.
"Okay, that's fine.", OK c'est bon.
I was drugged.,J'ai été droguée.
Shall we proceed now adding the rewards?, Allons-nous procéder maintenant en ajoutant les récompenses?
"Beef, please.","Du bœuf, s'il vous plaît."
They're speaking French.,Ils parlent en français.
All of us plan to do that.,Nous tous prévoyons de le faire.
This is a fake.,Il s'agit d'un faux.
No problem., Aucun problème.
That's just what we need.,C'est précisément ce qu'il nous faut.
I felt left out.,Je me suis senti exclu.
I was worried about you.,Je me suis inquiété pour toi.
I never wanted to hurt you.,Je n'ai jamais voulu te blesser.
Do you still want to continue with the change?, Voulez-vous toujours poursuivre le changement?
Be nice to her.,Sois gentil avec elle.
Who's that boy?,Qui est ce garçon ?
What're you talking about?,De quoi parlez-vous ?
A is 5 times as long as B.,"""A"" est cinq fois plus long que ""B""."
I'm still dubious.,Je suis encore sceptique.
I would never let you down.,Je ne te laisserais jamais tomber.
The three were arrested.,Les trois ont été arrêtées.
You're the oldest.,C'est vous la plus vieille.
You're the reason I came.,C’est pour toi que je suis venue.
I wonder what that means.,Je me demande ce que cela signifie.
"Yes, cancel"," Oui, annuler"
I locked myself in my room.,Je me suis enfermée dans ma chambre.
That was stupid.,C'était stupide.
Do you have any other question for me?, Avez-vous une autre question pour moi?
Let's not watch TV.,Ne regardons pas la télévision.
No biggie!, Pas de biggie!
I just sent an email. , Je viens d'envoyer un e-mail.
Hi!, Salut!
I enjoyed this book.,Ce livre m'a procuré du plaisir.
You must not stay in bed.,Tu ne dois pas rester au lit.
?, ?
I was eating dinner then.,Je prenais alors mon dîner.
Tom brushed Mary's hair.,Tom brossa les cheveux de Marie.
Bye for now., Au revoir.
Tom works at home.,Tom travaille à la maison.
It's sweet.,C'est gentil.
Thank you for the cake.,Merci pour le gâteau.
"That's November 11, Friday"," C'est le 11 novembre, vendredi"
Verify Customer, Vérifier le client
He is too old.,Il est trop vieux.
Is it finished?,Est-ce terminé ?
I was very patient.,J'ai été très patient.
Don't make so much noise.,Ne fais pas autant de bruit.
Thank you!, Je vous remercie!
Tom should verify that.,Tom devrait vérifier ça.
He walked past the house.,Il est passé devant la maison.
Is this price acceptable?,Ce prix est-il raisonnable ?
I can't trust you anymore.,Je ne peux plus te faire confiance.
Why not spend the night?,Pourquoi ne pas passer la nuit ?
I wrote it for Tom.,Je l'ai écrit pour Tom.
What was he up to?,Quelle était son intention ?
No one knew Tom was there.,Personne ne savait que Tom était là.
She caught colds often.,Elle attrapait souvent le rhume.
I'm dying.,Je me meurs.
That massage felt good.,Ce massage était agréable.
Tom often walks to school.,Tom va souvent à l'école en marchant.
You really should do that.,Tu devrais vraiment faire ça.
They don't like to do that.,Elles n'aiment pas faire cela.
I'm feeling very confident.,Je me sens très en confiance.
He has a pleasant voice.,Il a une voix agréable.
I'm just trying to survive.,J'essaie simplement de survivre.
I have just what you need.,J'ai précisément ce qu'il te faut.
I want a raise.,Je veux une augmentation.
I'm still working here., Je travaille toujours ici.
Which one's the new one?,Lequel est le neuf ?
I'll be there Monday night.,Je serai là-bas lundi soir.
"Alright, got it! Ringing them now."," D'accord, j'ai compris! Les appeler maintenant."
Verify Customer, Vérifier le client
account*, Compte*
Correct me if I'm wrong.,Corrige-moi si je me trompe.
You'll ruin everything.,Tu vas tout foutre en l'air.
Verify Customer, Vérifier le client
Why do you need a doctor?,Pourquoi as-tu besoin d'un docteur ?
The news made her happy.,La nouvelle la rendit heureuse.
Sure I understand. May I have your email address?," Bien sûr, je comprends. Puis-je avoir votre adresse e-mail?"
Verify Customer, Vérifier le client
It's not very complicated.,Ce n'est pas très compliqué.
They may leave tomorrow.,Il se peut qu'ils partent demain.
I'm one of Tom's teammates.,Je suis l'une des coéquipières de Tom.
Hello there Stacie., Bonjour Stacie.
Verify Customer, Vérifier le client
"Tom, do you still love me?","Tom, est-ce que tu m'aimes toujours ?"
I need inspiration.,Il me faut de l'inspiration.
François has a good idea.,François a une bonne idée.
I really appreciate it!, J'apprécie vraiment cela!
I really like you a lot.,Je vous apprécie vraiment beaucoup.
How can I help you today?, Comment puis-je vous aider aujourd'hui?
They have plenty of money.,Ils disposent de plein d'argent.
This doesn't work!,Ça ne fonctionne pas !
This file is encrypted.,Ce fichier est chiffré.
give a minute, donner une minute
to your VisaXXXX-8302, à votre VisaXXXX-8302
I was chilled to the bone.,J'étais gelé jusqu'aux os.
We don't need it anymore.,Nous n'en avons plus l'usage.
What is all this?,Qu'est tout ceci ?
How many do you see now?,"Combien en voyez-vous, maintenant ?"
I have so many questions.,J'ai tant de questions.
She has a picture.,Elle dispose d'une photo.
He has a lunch.,Il a un déjeuner.
You don't stand a chance.,Vous n'avez aucune chance.
"Give me a drink, please.","Donne-moi quelque chose à boire, je te prie !"
What's your email address? , Quelle est votre adresse e-mail?
cancel.,Annuler
Do you write short stories?,Écrivez-vous des nouvelles ?
I love you guys.,"Les mecs, je vous aime."
Drink something.,Bois quelque chose.
This house is not for sale.,Cette maison n'est pas à vendre.
I'm getting tired of this.,Ça me pompe.
She's teaching us French.,Elle nous apprend le français.
We already gave it to you.,Nous te l'avons déjà donné.
I want to shake your hand.,Je veux te serrer la main.
Thanks. Calling you now, Merci. Vous appeler maintenant
Please smile.,"Souriez, je vous prie !"
Let's get a cup of coffee.,Prenons une tasse de café !
Everybody tasted the food.,Tout le monde goûta la nourriture.
I like these two.,J'aime ces deux-ci.
If you cancel within 24 hours, Si vous annulez dans les 24 heures
You don't have to worry.,Il ne faut pas vous faire de souci.
Did you study yesterday?,As-tu étudié hier ?
"Sure, it's my pleasure Dag!"," Bien sûr, c'est mon plaisir Dag!"
I'm cool.,Je suis détendue.
yes, Oui
Did you cancel online?, Avez-vous annulé en ligne?
I'll do whatever it takes.,Je ferai tout ce qu'il faut.
I know what I need to do.,Je sais ce que j'ai à faire.
What did they tell to you?, Que vous ont-ils dit?
"Hi Thulfiqar, this is Karen. "," Salut Thulfiqar, voici Karen."
"It's possible, isn't it?","C'est possible, pas vrai ?"
I couldn't believe my eyes.,Je ne pouvais pas en croire mes yeux.
Was it a robbery?,S'agissait-il d'un vol ?
I have doubts.,J'ai des doutes.
What you need is a friend.,"Ce qu'il vous faut, c'est une amie."
He is very young.,Il est très jeune.
Why don't you sit down?,Pourquoi ne t'assieds-tu pas ?
Tom didn't steal anything.,Tom n'a rien volé.
I'm naked.,Je suis nue.
Are you still there?, Tu es encore la?
We caught you.,Nous vous avons attrapés.
The shop was busy.,Le magasin était plein de monde.
Yes , Oui
He made his parents happy.,Il a rendu ses parents heureux.
Carry on with your work.,Continuez votre travail.
Tom is bald.,Tom est chauve.
It's part of the system.,Ça fait partie du système.
You're surrounded.,Vous êtes cernées.
You're so sweet.,Vous êtes si gentil !
You're most welcome., Je vous en prie.
"Yes, let me see."," Oui, laisse moi voir."
I knew Tom was a bit crazy.,Je savais que Tom était un peu fou.
Do you recycle?,Pratiques-tu le recyclage ?
Just about everyone came.,Pratiquement tout le monde est venu.
Thank you! , Je vous remercie!
We swam in the sea.,Nous avons nagé dans la mer.
I'm just kidding.,Je rigole.
This bed is heavy.,Ce lit pèse lourd.
Tom gave me 300 dollars.,Tom m'a donné trois cents dollars.
I'm not afraid of ghosts.,Je n'ai pas peur des fantômes.
He did not listen.,Il n'a pas écouté.
I'll do that later.,Je ferai ça plus tard.
You still with me?, Tu es toujours avec moi?
You've failed.,Vous avez échoué.
"Hello Mathew, are you still there?"," Bonjour Mathew, tu es toujours là?"
We're confused.,Nous sommes perplexes.
I like your place.,J'aime ton appartement.
He's a southpaw.,C'est un gaucher.
I lead a busy life.,Je mène une vie prenante.
Bye Dakoda., Au revoir Dakoda.
How can I Help?, Comment puis-je aider?
I want this cat.,Je veux ce chat.
Please hold., Attendez svp.
You're so serious.,Vous êtes si sérieuses.
You're very understanding.,Tu es très compréhensif.
Just stay with me., Reste juste avec moi.
Thank you for your time., Merci pour votre temps.
Are you sure?,Êtes-vous sûr ?
Still looking into this for you. , Toujours à la recherche de ça pour vous.
Verify Customer, Vérifier le client
Is this my life?,Est-ce ma vie ?
"How about the itinerary #, please?"," Que diriez-vous de l'itinéraire #, s'il vous plaît?"
Noted., C'est noté.
We all have kids.,Nous avons tous des gosses.
He parties too much.,Il fait trop la nouba.
That is correct., C'est exact.
Everybody hates you.,Tout le monde te déteste.
The boy is wearing glasses.,Le garçon porte des lunettes.
We were all tired.,Nous étions tous fatigués.
Truman?, Truman?
I like all of them.,Je les aime tous.
We're here alone.,Nous sommes ici seuls.
Coming here was a mistake.,Venir ici fut une erreur.
Get on your feet.,Mets-toi debout !
상담원 윤혜식입니다.," Voici Yoon Hye-sik, un agent."
They exchanged greetings.,Ils ont échangé des formules de bienvenue.
The dog was burnt to death.,Le chien est mort brulé.
I was there.,J'étais là.
I think we're in agreement.,Je pense que nous sommes d'accord.
It's cold today.,Il fait froid aujourd'hui.
Can you repair these shoes?,Pouvez-vous me réparer ces chaussures ?
I can't stand that noise.,Je ne peux pas supporter ce bruit.
Come at ten o'clock sharp.,Venez à dix heures précises.
I can't wait to go.,J'ai hâte d'y aller.
Are your bags in the car?,Est-ce que vos sacs sont dans la voiture ?
I was tired.,J’étais fatiguée.
How would you like me to proceed?, Comment aimeriez-vous que je procède?
He's here for me.,Il est ici pour moi.
I do hope you'll succeed.,J'espère vraiment que vous réussirez.
I stayed.,Je suis resté.
What's the confirmation number?, Quel est le numéro de confirmation?
Drugs can ruin your life.,La drogue peut foutre ta vie en l'air.
She was a medical student.,Elle était étudiante en médecine.
I understand. Let me track it for you. , Je comprends. Laissez-moi le suivre pour vous.
Tom won't remember you.,Tom ne se souviendra pas de vous.
It can't be a coincidence.,Ça ne peut pas être une coïncidence.
"No problem, Sir. Glad to help! ", Pas de problème Monsieur. Heureux de vous aider!
It's unlocked.,C'est déverrouillé.
Fear nothing.,N'aie crainte.
Stay safe and healthy. , Restez en sécurité et en bonne santé.
You should use deodorant.,Vous devriez employer du déodorant.
How is it going?,Ça va ?
Got it! Thank you., Je l'ai! Je vous remercie.
Please give me 2-3 minutes., Veuillez me donner 2-3 minutes.
It was hard.,C'était difficile.
I have evidence.,Je dispose de preuves.
I'm happy enough.,Je suis assez contente.
I'll do anything you wish.,Je ferai tout ce que tu souhaites.
Hello this is Mo. How can I help?," Bonjour, c'est Mo. Comment puis-je aider?"
Are you still here?, Êtes-vous toujours là?
Tom used to play soccer.,Tom jouait au football.
"You were right, you know.","Tu avais raison, tu sais."
I'm used to it.,J'y suis accoutumé.
Check for airline credit, Vérifiez le crédit de la compagnie aérienne
She can't find her hat.,Elle ne parvient pas à trouver son chapeau.
I'm used to it.,J'y suis habituée.
What are the alternatives?,Quelles sont les alternatives?
The sun sets in the west.,Le soleil se couche à l'ouest.
May I have the hotel name and check in date?, Puis-je avoir le nom de l'hôtel et la date d'arrivée?
I thought about it a lot.,J'y ai consacré beaucoup de réflexion.
We're downsizing.,Nous réduisons la voilure.
I don't have your courage.,Je n'ai pas ton courage.
Give me the book.,Donne-moi ce livre.
How do I thank you?,Comment puis-je te remercier ?
I can't talk about that.,Je ne peux pas en parler.
Oh okay. Thanks., Ah d'accord. Merci.
She displayed her talents.,Elle faisait étalage de ses talents.
What's asphalt made of?,De quoi est fait l'asphalte ?
It's pretty hot.,Il fait plutôt chaud.
I'm so sorry sir …., Je suis tellement désolé monsieur….
*wihtin, *dans
She was very rude to him.,Elle fut très grossière à son endroit.
She is quite a clever girl.,C'est une jeune fille assez maligne.
I've seen them all.,Je les ai tous vus.
Did you win?,As-tu vaincu ?
May I have your itinerary number?, Puis-je avoir votre numéro d'itinéraire?
I don't know what that is.,J'ignore ce dont il s'agit.
Don't let go of the rope.,Ne lâche pas la corde.
Not right now, Pas tout de suite
Check for airline credit, Vérifiez le crédit de la compagnie aérienne
Snails move slowly.,Les escargots se déplacent lentement.
Select booking, Sélectionnez la réservation
Are you there?, Êtes-vous là?
Yes , Oui
I'm not finished with you.,Je n'en ai pas fini avec vous.
Words failed him.,Les mots lui manquèrent.
You're welcome., De rien.
You're welcome!, Vous êtes les bienvenus!
I want you to sing.,Je voudrais que tu chantes une chanson.
No one was hit.,Personne n'a été touché.
Whose is that notebook?,De qui est-ce le laptop ?
I'm not desperate.,Je ne suis pas désespérée.
The king abused his power.,Le roi a abusé de son pouvoir.
Can I help you?,Puis-je vous aider ?
They're right behind me.,Ils se trouvent juste derrière moi.
 How can I make your day better?, Comment puis-je améliorer votre journée?
It brings me great joy.,Cela me cause une grande joie.
Do you have the painting?,Détiens-tu le tableau ?
Tom kept silent all day.,Tom s'est tu toute la journée.
Give me 3 to 5 minutes please. , Donnez-moi 3 à 5 minutes s'il vous plaît.
I can see the flight to Chicago on jun17, Je peux voir le vol vers Chicago le 17 juin
I'm watching the Olympics.,Je suis en train de regarder les jeux olympiques.
Today is extremely hot.,Aujourd'hui est une journée extrêmement chaude.
"Hi, how can I help you today?"," Salut, comment puis-je vous aider aujourd'hui?"
He left just now.,Il vient de partir.
You're the leader.,Tu es le chef.
What country is Boston in?,Dans quel pays se situe Boston ?
Hi there., Salut.
Verify Customer, Vérifier le client
Let me check it for you. , Laissez-moi le vérifier pour vous.
Where will we eat?,Où allons-nous manger ?
Close the gate.,Ferme le portail.
I know what you were doing.,Je sais ce que vous faisiez.
Are you ready to do that?,Es-tu prêt à faire ça ?
She took him to the store.,Elle l'amena au magasin.
They're mine.,Ils sont miens.
Thank you!, Je vous remercie!
"She has about 2,000 books.",Elle a à peu près 2000 livres.
It's one of my favorites.,C'est une de mes préférées.
Hi. Is this Rachel?, Salut. C'est Rachel?
You should quit smoking.,Tu devrais arrêter de fumer.
Who are you talking with?,Avec qui parlez-vous ?
Is it for Gold Leaf Hotel of Dewey-Rehoboth Beach?, Est-ce pour Gold Leaf Hotel de Dewey-Rehoboth Beach?
He is sharp-witted.,Il a l'esprit vif.
You look contented.,Vous avez l'air content.
Tom will be an adult soon.,Tom sera bientôt majeur.
one moment, un moment
Thank you so much for waiting! , Merci beaucoup d'avoir attendu!
It's 4:30 in the afternoon.,Il est 16 h 30.
Sure thing!, Chose sûre!
+44 (0)20 3788 0445, +44 (0) 20 3788 0445
The women have umbrellas.,Les femmes ont des parapluies.
None of the money is mine.,Rien de cet argent n'est à moi.
Hi Horacio , Salut Horacio
Are you there?, Êtes-vous là?
What time does it open?,Ça ouvre à quelle heure ?
Thanks., Merci.
I think you should do it.,Je pense que tu devrais le faire.
It's still raining.,Il pleut encore.
Your watch is on the desk.,Ta montre se trouve sur le bureau.
I watched a movie.,J'ai regardé un film.
I'll make you proud of me.,Je vous rendrai fière de moi.
He wants that a lot.,Il veut beaucoup cela.
I was a pleasure., J'étais un plaisir.
You're a funny guy.,T'es un gars marrant.
He is impossible to beat.,Il est impossible de le battre.
How do you make your money?,Comment gagnez-vous votre argent ?
"Ok, let me check that one."," Ok, laissez-moi vérifier celui-là."
"Hi there, this is Jacob"," Salut, c'est Jacob"
The telephone rang.,Le téléphone a sonné.
They made Tom an offer.,Elles ont fait une offre à Tom.
The house is painted white.,La maison est peinte en blanc.
Thanks for confirming. , Merci d'avoir confirmé.
They're both beautiful.,Ils sont tous les deux beaux.
It is not his business.,Ce n'est pas son affaire.
I wish I'd met her.,J'aurais aimé la rencontrer.
Hi there! How can I help you?, Salut! Comment puis-je vous aider?
I know that Tom is a thief.,Je sais que Tom est un voleur.
Let's do the math.,Faisons le calcul.
We have no secrets.,Nous n'avons pas de secrets.
Everybody sat down.,Tout le monde s'assit.
You can't help yourself.,Vous ne pouvez pas vous en empêcher.
He couldn't find the house.,Il n'a pas pu trouver la maison.
Let's go that way.,Allons-y comme ça.
He's in his fifties.,Il a la cinquantaine.
I never learned to write.,Je n'ai jamais appris à écrire.
She trusted you.,Elle vous faisait confiance.
Have you read this article?,As-tu lu cet article ?
I knew too much.,J'en savais trop.
I wanted to slap myself.,J'avais envie de me gifler.
I have backstage passes.,J'ai des cartes d'accès aux coulisses.
My house is tiny.,Ma maison est minuscule.
He doesn't stand a chance.,Il n'a aucune chance.
Tom is memorizing a poem.,Tom mémorise un poème.
I love going to the movies.,J’adore aller au cinéma.
Are you still there?, Tu es encore la?
Definitely!, Absolument!
He's a slob.,C'est un flemmard.
Would that be for this year or next year?, Serait-ce pour cette année ou l'année prochaine?
You're touching me.,Vous me touchez.
